 ,week_days_found,current Weekday,month_found,current month,date_found,current date,time_found,current time,day_match,month_match,date_match,time_match,result,comments,
8H Ã€ 12H MAR JEU 13H Ã€ 17H LUN MER VEN,[2],,[4],,[1],,9h-17h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
8H Ã€ 12H MAR JEU 13H Ã€ 18H LUN MER VEN,"[0, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,17h-18h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
8H Ã€ 16H MARDI MERCREDI,"[0, 1, 2, 3, 4]",,[],,[],,09h30-17h30,,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 16H30 - LUN MER VEN,,,,,,,,,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 16H30 - MAR JEU,[],,"[5, 6, 7, 8, 9, 10, 11]",,"[1, 1]",,[],,,FALSE,FALSE,,{'result': 0},,
8H Ã€ 17H - LUN MER VEN,"[0, 1, 2, 3, 4]",,[],,[],,"['06h-10h', '15h-19h']",,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 17H LUN MER VEN 15 NOV - 15 AVR,[3],,[],,[],,09h-17h,,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 17H LUN MER VEN 1er SEPT AU 31 MAI,[],,[12],,[1],,4h-5h,,,FALSE,FALSE,FALSE,{'result': 0},,
8H Ã€ 17H LUNDI JEUDI 3 MÃˆTRES,"[0, 1, 2, 3, 4]",,[],,[],,15h-23h,,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 17H MAR JEU,"[0, 4]",,"[1, 1]",,"[8, 9]",,"['8h-9h', '16h30-17h30']",,FALSE,TRUE,TRUE,FALSE,{'result': 0},,
8H Ã€ 17H MAR JEU 15 AVR - 15 NOV,"[0, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h30-14h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
8H Ã€ 17H MAR JEU 1er SEPT AU 31 MAI,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
8H Ã€ 17H MAR JEU SAM DIM,[1],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h-24h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
8H Ã€ 17H30 JOURS DE CLASSE,[],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,06h-07h,,,FALSE,FALSE,FALSE,{'result': 0},,
8H Ã€ 18H LUN MER VEN,"[0, 1, 2, 3, 4]",,[],,[],,08h-16h,,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 18H MAR JEU,[],,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",,"[15, 15]",,[],,,FALSE,FALSE,,{'result': 0},,
8H Ã€ 18H SAM DIM - MAI-JUIN,"[0, 1, 2, 3, 4]",,[],,[],,14h30-16h30,,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 19H LUN MER VEN,"[0, 1, 2, 3, 4]",,[],,[],,12h-16h,,FALSE,,,TRUE,{'result': 0},,
8H Ã€ 19H MAR JEU,"[0, 1, 2, 3, 4]",,[],,[],,08h-20h,,FALSE,,,TRUE,{'result': 0},,
8H00 Ã€ 9H00 - 14H00 Ã€ 17H00 - LUN AU VEN,"[2, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-08h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
8H00 Ã€ 9H00 LUN ET MER 15 MARS Ã€ 15 NOV - ENTRETIEN,[3],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,22h30-23h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
8H00 Ã€ 9H00 MAR ET JEU 15 MARS AU 15 NOV ENTRETIEN,[],,[],,[],,09h-17h,,,,,TRUE,{'result': 1},,
90 MIN,[4],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-08h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
9H Ã  11H - LUNDI - 15 AVR - 15 NOV,"[0, 1, 2, 3, 4]",,[],,[],,8h-14h,,FALSE,,,FALSE,{'result': 0},,
9H Ã  11H - LUNDI - ENTRETIEN,[],,[],,[],,"['07h-09h', '14h-18h']",,,,,TRUE,{'result': 1},,
9H Ã  12H - LUNDI - 15 AVR au 15 NOV,[1],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,22h-23h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
9H Ã  12H - LUNDI - 15 AVR au 15 NOV - ENTRETIEN,"[0, 1, 2, 3, 4]",,"[6, 7, 8, 9]",,"[1, 1]",,08h-17h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
9H Ã€ 11H LUNDI 15 AVR - 15 NOV ENTRETIEN,"[0, 1, 2, 3, 4]",,[],,[],,08h-16h,,FALSE,,,TRUE,{'result': 0},,
9H Ã€ 11H MARDI 15 AVR - 15 NOV,,,,,,,,,FALSE,,,TRUE,{'result': 0},,
9H Ã€ 11H MARDI ENTRETIEN,"[0, 1, 2, 3, 4, 5]",,[],,[],,8h-18h,,TRUE,,,TRUE,{'result': 1},,
9H Ã€ 12H - MARDI - 15 AVR AU 15 NOV,[2],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h30-20h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
9H Ã€ 12H - MARDI - 15 AVR AU 15 NOV - ENTRETIEN,"[1, 2, 3, 4]",,[],,[],,08h-16h,,FALSE,,,TRUE,{'result': 0},,
9H Ã€ 12H 14H Ã  17H LUN MER VEN,[3],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,21h-22h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
9H Ã€ 12H MAR JEU,"[0, 1, 2, 3, 4, 5]",,[],,[],,09h30-15h30,,TRUE,,,TRUE,{'result': 1},,
9H Ã€ 12H MAR JEU 15 AVR AU 15 NOV,[1],,[],,[],,9h-12h,,FALSE,,,FALSE,{'result': 0},,
9H Ã€ 15H MARDI,"[0, 1, 2, 3, 4]",,[],,[],,15h-18h30,,FALSE,,,TRUE,{'result': 0},,
9H Ã€ 17H JOURS DE CLASSE,"[0, 3]",,[],,[],,10h-11h,,FALSE,,,FALSE,{'result': 0},,
"9H Ã€ 17H LUN MER VEN 15 NOV AU 15 MARS, 11H Ã€ 12H MERCREDI 15 MARS AU 15 NOV","[0, 1, 2, 3, 4]",,[],,[],,09h-17h,,FALSE,,,TRUE,{'result': 0},,
9H Ã€ 17H MAR JEU 15 NOV AU 15 MARS - 11H Ã€ 12H JEUDI 15 MARS AU 15 NOV,"[0, 2, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-08h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
9H00 Ã  12H00 LUNDI,"[0, 2]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h30-20h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
9H00 Ã  12H00 MARDI,"[1, 2, 3]",,[],,[],,13h-14h,,FALSE,,,FALSE,{'result': 0},,
9H00 Ã  15H30 JOURS DE CLASSE,"[0, 4]",,[],,[],,14h-15h,,FALSE,,,FALSE,{'result': 0},,
A 08h-09h30  15h30-18h LUN A VEN,[],,[1],,[2],,16h-09h,,,TRUE,FALSE,FALSE,{'result': 0},,
ARRÃŠT - D'AUTOBUS,"[0, 1, 2, 3, 4]",,[],,[],,07h-21h30,,FALSE,,,TRUE,{'result': 0},,
ARRÃŠT D'AUTOBUS 05H30 Ã€ 10H00 LUNDI Ã€ VENDREDI,"[1, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,21h-22h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
ARRÃŠT D'AUTOBUS 5H30 Ã€ 9H - 14H30 Ã€ 18H - LUNDI Ã€ VENDREDI,"[0, 1, 2, 3, 4]",,[],,[],,"['8h-9h', '14h30-15h30']",,FALSE,,,TRUE,{'result': 0},,
ARRÃŠT D'AUTOBUS 5H30 Ã€ 9H30 - 14H30 Ã€ 18H30 - LUNDI Ã€ VENDREDI,[],,[],,[],,09h30-20h,,,,,TRUE,{'result': 1},,
ARRÃŠT D'AUTOBUS 5H30 Ã€ 9H30 - 14H45 Ã€ 18H30 - LUNDI Ã€ VENDREDI,"[0, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,21h-22h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
ARRÃŠT D'AUTOBUS 7H30 Ã€ 8H30 - 14H30 Ã€ 16H LUNDI Ã€ VENDREDI,"[1, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,12h-13h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
ARRÃŠT D'AUTOBUS de 00H00 Ã€ 05H00,"[0, 1, 2, 3, 4]",,[],,[],,09h30-18h30,,FALSE,,,TRUE,{'result': 0},,
ARRÃŠT D'AUTOBUS LUNDI Ã€ VENDREDI,"[0, 1, 2]",,[],,[],,0h-7h,,FALSE,,,FALSE,{'result': 0},,
DÃ‰BARCADÃˆRE,[2],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
DÃ‰BARCADÃˆRE 15 MIN 7H @ 9H,"[0, 1, 2, 3, 4]",,[],,[],,9h-21h,,FALSE,,,TRUE,{'result': 0},,
DÃ‰BARCADÃˆRE DE COURTE DURÃ‰E RÃ‰SERVÃ‰ AUX FAMILLES AVEC JEUNES ENFANTS,"[2, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h-08h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
DÃ‰BARCADÃˆRE SEULEMENT,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
DESCRIPTION_RPA,[2],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
EN TOUT TEMPS EXCEPTÃ‰ MARDI DE 9H Ã€ 15H,,,,,,,00h-07h,,,,,,{'result': 0},,
ESPACE RÃ‰SERVÃ‰ 7H Ã€ 8H 15H30 Ã€ 16H30,"[1, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h30-10h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
ESPACE RÃ‰SERVÃ‰ MER DIM,"[0, 1, 2, 3, 4]",,[],,[],,07h-18h,,FALSE,,,TRUE,{'result': 0},,
ESPACE RÃ‰SERVÃ‰E NAVETTE CAPREIT,"[0, 1, 2, 3, 4]",,[],,[],,10h-11h,,FALSE,,,FALSE,{'result': 0},,
Espace rÃ©servÃ© - Directeur SÃ©curitÃ© publique,"[1, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h30-20h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
Espace rÃ©servÃ© - SÃ©curitÃ© publique,"[1, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,20h-21h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
EXCEPTÃ‰ AUTOBUS SCOLAIRE,"[0, 1, 2, 3, 4]",,"[6, 7, 8, 9]",,"[1, 1]",,07h-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
EXCEPTÃ‰ DIMANCHE ET JOURS DE FÃŠTE,"[0, 1, 2, 3, 4]",,[],,[],,"['07h-09h', '15h-18h']",,FALSE,,,TRUE,{'result': 0},,
EXCEPTÃ‰ VÃ‰HICULES AUTORISÃ‰S,,,,,,,,,FALSE,,,TRUE,{'result': 0},,
EXCEPTÃ‰ VÃ‰HICULES COMMUNAUTO,"[1, 3]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,20h-21h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
EXCEPTE  DEBARCADERE,"[0, 1, 2, 3, 4]",,[],,[],,06h-19h,,FALSE,,,TRUE,{'result': 0},,
EXCEPTE 9h-21h LUN.,"[1, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,20h-21h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
HANDICAPÃ‰S - 120 MIN,,,,,,,07h30-18h,,,,,,{'result': 0},,
HANDICAPÃ‰S - DÃ‰BARCADÃˆRE (Bleu),[],,[],,[],,7h30-16h,,,,,TRUE,{'result': 1},,
HORAIRE DE STATIONNEMENT TARIFE (PARCOFLEX),"[0, 1, 2, 3, 4]",,[],,[],,09h-16h,,FALSE,,,TRUE,{'result': 0},,
HORAIRE DE STATIONNEMENT TARIFE 09h-18h LUN A VEN (PARCOJOUR),"[0, 1, 2, 3, 4, 5]",,[4],,[9],,"['4h-9h', '23h']",,TRUE,FALSE,FALSE,FALSE,{'result': 0},,
HORAIRE DE STATIONNEMENT TARIFE 09h-24h (PARCOJOUR),"[0, 1, 2, 3, 4]",,[],,[],,11h-14h,,FALSE,,,FALSE,{'result': 0},,
HORAIRE DE STATIONNEMENT TARIFE 7h-22h,,,,,,,21h-9h,,,,,,{'result': 0},,
INTERDICTION DE STAT. S3R (GR. R) 17H - 3H,,,,,,,,,,,,,{'result': 0},,
INTERDICTION DE STAT. S3R (GR. R) 18H - 3H,"[0, 1, 2, 3, 4]",,"[6, 7, 8, 9]",,"[1, 1]",,"['07h30-08h30', '14h-15h']",,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
INTERDICTION DE STAT. S3R (GR. R) 9H - 3H,"[0, 4, 5, 6]",,[],,[],,"['18h-3h', '9h-3h']",,TRUE,,,FALSE,{'result': 0},,
INTERDICTION DE STAT. S3R DE 15H - 3H,[0],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h30-09h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
JOURS DE CLASSE,[2],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-17h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
LUN 17H Ã€ MAR 17H - MER 17H Ã€ JEU 17H - VEN 17H Ã€ SAM 17H,[3],,[],,[],,14h-16h,,FALSE,,,TRUE,{'result': 0},,
LUN 18H Ã€ MAR 18H - MER 18H Ã€ JEU 18H - VEN 18H Ã€ SAM 18H,[3],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,18h-19h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
LUN AU VEN 120 MIN 9H Ã€ 16H,[1],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,18h-19h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
LUN MER VEN,"[1, 3]",,[7],,[8],,7h-8h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
LUN MER VEN 8H Ã€ 12H - MAR JEU 13H Ã€ 17H,"[0, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h-14h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
LUN MER VEN 8H Ã€ 12H - MAR JEU 14H Ã€ 17H,[],,[],,[],,09h-19h,,,,,TRUE,{'result': 1},,
LUN MER VEN DIM,"[0, 4]",,[9],,[22],,"['7h30-9h', '16h-18h']",,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
MAR JEU 8H Ã€ 12H LUN MER VEN 14H Ã€ 17H,[0],,[],,[],,7h-7h,,FALSE,,,FALSE,{'result': 0},,
MAR JEU SAM,[2],,[1],,[19],,19h-19h,,FALSE,TRUE,FALSE,FALSE,{'result': 0},,
P 02 h 09h30-17h LUN A VEN,[],,[],,[],,[],,,,,,{'result': 1},,
P 02h,"[0, 1, 2, 3, 4]",,[1],,[2],,09h-23h,,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
P 02h 08h-15h30 LUN. AU SAM.,,,,,,,,,FALSE,TRUE,FALSE,TRUE,{'result': 0},,
P 02h 08h-16h LUN. AU VEN.,[],,[],,[],,09h30-18h,,,,,TRUE,{'result': 1},,
P 02h 08h-18h,[5],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h,,TRUE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 08h-18h LUN. AU VEN.,[],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h,,,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 08h-19h,"[0, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h-24h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 08h-19h LUN. AU VEN.,"[0, 4]",,[7],,[9],,"['7h-9h', '16h-18h']",,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 09h-15h30 LUN A SAM,"[0, 1, 2, 3, 4, 5]",,[],,[],,09h-15h,,TRUE,,,FALSE,{'result': 0},,
P 02h 09h-16h LUN. AU SAM.,"[0, 1, 2, 3, 4]",,"[6, 7, 8, 9]",,"[1, 1]",,08h-16h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
P 02h 09h-17h LUN A VEN,"[3, 4, 5]",,"[10, 10]",,"[19, 24]",,"['10h-24h', '10h-19h']",,TRUE,FALSE,FALSE,TRUE,{'result': 0},,
P 02h 09h-18h,"[0, 1, 2, 3, 4]",,"[6, 7, 9]",,"[1, 1, 9]",,"['07h-14h', '18h']",,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 09h-18h LUN. AU SAM.,"[0, 1, 2, 3, 4]",,"[6, 7, 8, 9]",,"[1, 1]",,07h-18h,,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
P 02h 09h-18h LUN. AU VEN.,[],,[],,[],,"['07h-08h30', '15h-17h30']",,,,,TRUE,{'result': 1},,
P 02h 09h-20h,,,,,,,,,,,,TRUE,{'result': 0},,
P 02h 09h-21h,,,,,,,05h-09h,,,,,,{'result': 0},,
P 02h 09h-21h SAMEDI ET DIMANCHE,[],,[2],,[22],,"['02h-09h30', '18h']",,,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 09h30 A 15h30 LUN. AU VEN.,[],,[2],,[9],,"['2h-9h', '23h']",,,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 09h30-15h LUN A SAM,[6],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-10h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 09h30-16h LUN. AU SAM.,[6],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-10h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 09h30-17h30 LUN. AU VEN.,"[0, 1, 2, 3, 4]",,[],,[],,09h30-14h30,,FALSE,,,FALSE,{'result': 0},,
P 02h 09h30-18h,"[0, 1, 2, 3, 4]",,[],,[],,07h-15h,,FALSE,,,FALSE,{'result': 0},,
P 02h 09h30-18h LUN. AU SAM.,"[0, 1, 2, 3, 4]",,"[6, 7, 9]",,"[1, 1, 9]",,"['07h-15h', '18h']",,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 09h30-18h LUN. AU VEN.,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 10h-17h LUN A VEN,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 12h-18h LUN A VEN,,,,,,,17h-07h,,,,,,{'result': 0},,
P 02h 12h-18h LUN. AU VEN.,[3],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h-20h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 02h 8h-17h LUN A VEN,"[1, 3]",,[],,[],,10h-16h,,FALSE,,,TRUE,{'result': 0},,
P 02h 9h30-16h LUN A VEN,[],,[],,[],,18h-21h,,,,,FALSE,{'result': 0},,
P 03h,"[0, 5]",,[],,[],,8h-17h,,TRUE,,,TRUE,{'result': 1},,
P 03h 07h-18h MER,"[0, 2]",,[7],,[8],,7h-8h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 03h 08h-17h,"[1, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,06h30-07h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 04h,"[1, 3, 6]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 04h 06h-18h LUN A VEN,"[0, 4]",,[],,[],,"['8h-8h', '14h-15h']",,FALSE,,,FALSE,{'result': 0},,
P 09h-16h LUN. AU SAM.,[1],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h-15h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 10 MIN - 7H @ 8H - 15H @ 16H LUN AU VEN,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min,"[0, 1, 2, 3, 4]",,[],,[],,07h-12h,,FALSE,,,FALSE,{'result': 0},,
P 15 MIN,[3],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h-15h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 MIN   7h-9h30 ET 15h-18h  LUN A VEN  GARDERIE SEULEMENT,"[0, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,20h30-21h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 MIN  8h-9h ET 14h30-15h30 LUN A VEN,[3],,[],,[],,8h-10h,,FALSE,,,FALSE,{'result': 0},,
P 15 min 07h-09 ET 14h-18h LUN A VEN SEPT. A JUIN,"[0, 4, 5]",,[1],,[1],,"['2h', '10h', '12h', '16h30', '18h30', '8h30', '13h']",,TRUE,TRUE,FALSE,TRUE,{'result': 0},,
P 15 min 07h-09 ET 15h-18h LUN A VEN SEPT. A JUIN,"[0, 1, 2, 3, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h30-10h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 07h-09h 16h-18h LUN. AU VEN.,[0],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,06h30-07h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 07h-09h ET 12h-14h LUN A VEN,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 MIN 07h-09h ET 14h-16h LUN A VEN SEPT. A JUIN,[],,[],,[],,13h-14h,,,,,FALSE,{'result': 0},,
P 15 min 07h-09h ET 14h-18h JOURS D'ECOLE,"[0, 1, 2, 3, 4]",,[],,[],,"['08h-10h', '15h-16h30']",,FALSE,,,TRUE,{'result': 0},,
P 15 min 07h-09h ET 15h-18h JOURS D'ECOLE,[2],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 MIN 07h-09h ET 15h-18h LUN A VEN,[4],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,09h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 07h-09h LUN A VEN SEPT. A JUIN,[0],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,06h-07h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 MIN 07h-09h30 ET 15h-16h LUN A VEN GARDERIE SEULEMENT,[1],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,06h30-07h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 MIN 07h-09h30 ET 15h-18h LUN A VEN,[],,[],,[],,18h-3h,,,,,FALSE,{'result': 0},,
P 15 min 07h-09h30 ET 15h-18h LUN A VEN SEPT. A JUIN,[5],,[],,[],,8h-16h,,TRUE,,,TRUE,{'result': 1},,
P 15 min 07h-09h30 ET 15h30-18h LUN. AU VEN,[],,[],,[],,14h-15h,,,,,FALSE,{'result': 0},,
P 15 min 07h-09h30 LUN A VEN GARDERIE SEULEMENT,[1],,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,06h-07h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 07h-10h ET 15h-18h LUN A VEN,[5],,[2],,[9],,"['02h-09h', '21h']",,TRUE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 MIN 07h-10h ET 15h30-18h LUN A VEN,,,,,,,15h-22h,,,,,,{'result': 0},,
P 15 MIN 07h-16h JOURS D'ECOLE,[],,[],,[],,[],,,,,,{'result': 1},,
P 15 MIN 07h-16h LUN A VEN,,,,,,,07h-24h,,,,,,{'result': 0},,
P 15 min 07h-18h LUN. A SAM.,"[0, 4, 5, 6]",,[],,[],,"['18h30-21h', '09h-21h']",,TRUE,,,TRUE,{'result': 1},,
P 15 min 07h-18h LUN. AU VEN.,"[0, 1, 2, 3, 4]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,12h-13h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 07h-18h30 LUN A VEN,"[0, 2]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,16h30-17h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 07h-19h,"[0, 1, 2, 3, 4]",,[],,[],,14h30-21h,,FALSE,,,TRUE,{'result': 0},,
P 15 min 07h-19h LUN AU VEN,"[0, 1, 2, 3, 4]",,[],,[],,"['06h30-09h30', '15h30-17h30']",,FALSE,,,FALSE,{'result': 0},,
P 15 min 07h-21h30 LUN A VEN,,,,,,,18h-00h,,,,,,{'result': 0},,
P 15 min 07h-22h,"[0, 1, 2, 3, 4]",,[],,[],,06h30-18h30,,FALSE,,,TRUE,{'result': 0},,
P 15 min 07h30-09h ET 14h30-18h JOURS D'ECOLE,"[0, 1, 2, 3, 4]",,[],,[],,09h30-13h30,,FALSE,,,FALSE,{'result': 0},,
P 15 MIN 07h30-09h ET 16h-18h 30 LUN A VEN GARDERIE SEULEMENT,"[0, 1, 2, 3, 4]",,"[6, 7, 8, 9]",,"[1, 1]",,"['07h-09h30', '15h-18h']",,FALSE,FALSE,FALSE,TRUE,{'result': 0},,
P 15 MIN 07h30-09h30 ET 15h30-18h LUN A VEN,[2],,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",,"[15, 15]",,08h-12h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 07h30-9h ET 14h30-16h30 LUN. AU VEN.,[],,[2],,[9],,"['02h-09h', '18h']",,,FALSE,FALSE,FALSE,{'result': 0},,
P 15 min 08h-09 ET 15h-16h LUN A VEN SEPT. A JUIN,"[0, 1, 2, 3, 4]",,[],,[],,08h-15h30,,FALSE,,,TRUE,{'result': 0},,
P 15 MIN 08H-10H ET 15H-16H30 LUN A VEN,"[0, 3]",,[],,[],,09h-17h,,FALSE,,,TRUE,{'result': 0},,
P 15 min 08h-10h ET 16h-18h LUN A VEN,"[1, 3]",,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,13h30-14h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
