 ,week_days_found,current Weekday,month_found,current month,date_found,current date,time_found,current time,day_match,month_match,date_match,time_match,result,comments,
\A 8h - 9h MER ET VEN 1er AVRIL - 30 NOV,"[0, 1, 2, 3, 4]",,[],,[],,07h-09h30,,FALSE,,,FALSE,{'result': 0},,
\A 8h -10h MERCREDI 1er AVRIL - 30 NOV,,,,,,,,,FALSE,,,FALSE,{'result': 0},,
\A 8h-17h LUNDI Ã€ SAMEDI,,,,,,,22h-07h,,,,,,{'result': 0},,
\A ARRET D'AUTOBUS,,,,,,,,,,,,,{'result': 0},,
\A AUX CAMIONS,"[0, 3]",,[],,[],,09h-16h,,FALSE,,,TRUE,{'result': 0},,
\A EN TOUT TEMPS,[3],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A EN TOUT TEMPS (ORANGE POUR TRAVAUX),"[0, 3]",,[],,[],,09h-16h,,FALSE,,,TRUE,{'result': 0},,
\A EN TOUT TEMPS DES DEUX COTES,"[0, 1, 2, 3, 4]",,[],,[],,07h-18h,,FALSE,,,TRUE,{'result': 0},,
\A EN TOUT TEMPS DU COTE DROIT,,,,,,,07h-19h,,,,,,{'result': 0},,
\A EN TOUT TEMPS SUR 5m,[2],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,10h-11h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A EXCEPTE CAMION S.O.S.,,,,,,,,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A POMPIER URGENCE,"[0, 1, 2, 3, 4, 5]",,[],,[],,09h-13h,,TRUE,,,FALSE,{'result': 0},,
\A RESERVE AUTOBUS,,,,,,,,,TRUE,,,FALSE,{'result': 0},,
\A RESERVE AUTOBUS 06h-10h ET 15h-19h LUN. AU VEN.,"[0, 1, 2, 3, 4]",,[],,[],,09h30-16h,,FALSE,,,TRUE,{'result': 0},,
\A RESERVE AUTOBUS 07h-09h30 LUN. AU VEN.,[2],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,12h-13h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A RESERVE AUTOBUS 15h-18h30 LUN. AU VEN.,"[1, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,07h30-08h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\ARRÃŠT INTERDIT,[3],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,10h30-11h30,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\ARRÃŠT INTERDIT (FLÃˆCHE),[0],,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\ARRÃŠT INTERDIT (HEURE),"[0, 1, 2, 3, 4, 5]",,[],,[],,15h-21h,,TRUE,,,TRUE,{'result': 1},,
\ARRÃŠT INTERDIT ZONE D'AUTOBUS,"[0, 1, 2, 3, 4]",,[],,[],,09h30-16h,,FALSE,,,TRUE,{'result': 0},,
\P  RESERVE HANDICAPE DE 09h-17h MERCREDI ET SAMEDI,"[0, 1, 2, 3, 4]",,[],,[],,9h-23h,,FALSE,,,TRUE,{'result': 0},,
\P (FLÃˆCHE SEULEMENT),"[1, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,08h-09h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\P (STATIONNEMENT INTERDIT),"[0, 1, 2, 3, 4, 5]",,[],,[],,9h-23h,,TRUE,,,TRUE,{'result': 1},,
\P 00h-06h,"[1, 4]",,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,10h-11h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
